RECORD_ID,DATE_EVENT,DEVICE_ID,ITEMNAME,ITEMVALUE,TYPE,X,Y,VOLOCITY,ARC
7906,2018-06-28 13:34:21.4300000,AGV553,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,188621 19838 28.06.2018 10:57:27.192,R,2226988,192393,0,900,
7905,2018-06-28 13:34:21.4300000,AGV552,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,244718 16703 28.06.2018 10:49:37.399,R,1604287,162161,-292,901,
7904,2018-06-28 13:34:21.4000000,AGV551,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,233020 15900 28.06.2018 11:20:54.105,F,2430111,108000,-54,1800,
7903,2018-06-28 13:34:21.3830000,AGV550,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,218321 16102 28.06.2018 10:51:16.549,R,2588378,228926,-603,2196,
7901,2018-06-28 13:34:21.3670000,AGV548,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,228218 15904 28.06.2018 11:00:44.681,F,2244267,124656,275,435,
7899,2018-06-28 13:34:21.3530000,AGV546,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,223120 16303 28.06.2018 11:09:29.789,F,1780945,159005,-397,1798,
7897,2018-06-28 13:34:21.3530000,AGV544,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,206692 19033 28.06.2018 12:20:41.148,R,2446733,199169,283,2698,
7896,2018-06-28 13:34:21.3370000,AGV543,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,245623 15903 28.06.2018 11:42:04.847,F,2254994,136724,97,2698,
7912,2018-06-28 13:34:11.6800000,AGV559,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,225216 16702 28.06.2018 10:49:13.569,F,2222420,108011,-444,1,
7910,2018-06-28 13:34:11.6630000,AGV557,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,248017 16301 28.06.2018 11:07:13.772,F,2836320,378167,57,396,
7909,2018-06-28 13:34:11.6630000,AGV556,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,233617 11601 28.06.2018 10:47:35.426,F,2121859,166987,-397,1798,
7907,2018-06-28 13:34:11.6330000,AGV554,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,178589 18222 28.06.2018 13:19:56.073,R,1988647,150011,595,1800,
7906,2018-06-28 13:34:11.6330000,AGV553,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,188620 19621 28.06.2018 10:57:25.035,R,2226988,192393,0,900,
7905,2018-06-28 13:34:11.6170000,AGV552,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,244417 16702 28.06.2018 10:49:36.881,R,1604287,162161,-292,901,
7904,2018-06-28 13:34:11.6030000,AGV551,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,232720 15901 28.06.2018 11:20:53.544,F,2430111,108000,-54,1800,
7901,2018-06-28 13:34:11.5870000,AGV548,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,227917 15904 28.06.2018 11:00:44.120,F,2244267,124656,275,435,
7899,2018-06-28 13:34:11.5700000,AGV546,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,223418 16303 28.06.2018 11:09:29.306,F,1780945,159005,-397,1798,
7897,2018-06-28 13:34:11.5700000,AGV544,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,206694 19228 28.06.2018 12:20:40.471,R,2446733,199169,283,2698,
7896,2018-06-28 13:34:11.5570000,AGV543,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,245317 15904 28.06.2018 11:42:04.083,F,2254994,136724,97,2698,
7895,2018-06-28 13:34:11.5400000,AGV542,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,269922 32058 28.06.2018 11:26:22.087,R,2243265,122265,197,3102,
7894,2018-06-28 13:34:11.5230000,AGV541,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,189121 18823 28.06.2018 10:39:02.735,F,1898784,108123,-298,1816,
7893,2018-06-28 13:34:11.5230000,AGV540,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,244720 17352 28.06.2018 12:11:39.481,R,2287563,163012,-512,1,
7892,2018-06-28 13:34:11.5070000,AGV539,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,247717 16702 28.06.2018 10:48:39.902,R,2340859,166999,-319,1798,
7912,2018-06-28 13:34:02.4270000,AGV559,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,224914 16702 28.06.2018 10:49:13.050,F,2222420,108011,-444,1,
7910,2018-06-28 13:34:02.4270000,AGV557,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,248315 16301 28.06.2018 11:07:12.734,F,2836320,378167,57,396,
7909,2018-06-28 13:34:02.4130000,AGV556,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,233320 11601 28.06.2018 10:47:33.347,F,2121859,166987,-397,1798,
7908,2018-06-28 13:34:02.3970000,AGV555,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,237820 15902 28.06.2018 10:49:25.257,R,1978309,173511,-398,3599,
7907,2018-06-28 13:34:02.3970000,AGV554,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,178592 18022 28.06.2018 13:19:54.714,R,1988647,150011,595,1800,
7906,2018-06-28 13:34:02.3830000,AGV553,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,188621 19426 28.06.2018 10:57:23.073,R,2226988,192393,0,900,
7905,2018-06-28 13:34:02.3830000,AGV552,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,244117 16702 28.06.2018 10:49:36.362,R,1604287,162161,-292,901,
7904,2018-06-28 13:34:02.3670000,AGV551,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,232421 15901 28.06.2018 11:20:53.025,F,2430111,108000,-54,1800,
7903,2018-06-28 13:34:02.3500000,AGV550,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,218022 15901 28.06.2018 10:51:14.828,R,2588378,228926,-603,2196,
7901,2018-06-28 13:34:02.3500000,AGV548,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,227619 15903 28.06.2018 11:00:43.559,F,2244267,124656,275,435,
7899,2018-06-28 13:34:02.3370000,AGV546,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,223718 16302 28.06.2018 11:09:28.785,F,1780945,159005,-397,1798,
7897,2018-06-28 13:34:02.3200000,AGV544,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,206693 19423 28.06.2018 12:20:39.751,R,2446733,199169,283,2698,
7896,2018-06-28 13:34:02.3030000,AGV543,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,245019 15904 28.06.2018 11:42:03.324,F,2254994,136724,97,2698,
7895,2018-06-28 13:34:02.2730000,AGV542,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,269342 33418 28.06.2018 11:26:20.886,F,2243265,122265,197,3102,
7894,2018-06-28 13:34:02.2730000,AGV541,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,189122 19036 28.06.2018 10:39:01.215,F,1898784,108123,-298,1816,
7893,2018-06-28 13:34:02.2570000,AGV540,DefectTPX DefectTPY DefectTPDate DefectTPTime DefectTPAntennaPos,245020 17352 28.06.2018 12:11:38.843,R,2287563,163012,-512,1,
